stars,comment,date
2.0 out of 5 stars,"









  
  
    
  I am plus member and I order many items in a week but I am verry disappointed from this Amazon customized Maggi which have no MRP mentioned and I think Maggi and Amazon collaboration and make mini Maggi product

  
",Reviewed in India on 8 August 2020
1.0 out of 5 stars,"









  
  
    
  Yeh Maggie nakli hain. Very disappointed. Taste is also different. Not same as 10Rs.wala maggie

  
",Reviewed in India on 22 October 2019
1.0 out of 5 stars,"









  
  
    
  When I open packet,there is lot of ants.and also there is a very little hole in packet...don't waste ur money on it... total waste of money wrost product

  
",Reviewed in India on 21 July 2020
5.0 out of 5 stars,"









  
  
    
  All time favorite... In a nice 12 single packs.

  
",Reviewed in India on 10 November 2019
3.0 out of 5 stars,"









  
  
    
  Test is not as original ...I think is dublicate product

  
",Reviewed in India on 6 July 2020
1.0 out of 5 stars,"









  
  
    
  For the first time felt waste on spending Maggie noodles as it is smelling very very oily ....after the new born of Maggie v got trust but now the trust in it is fading .....I cant give even one star for the flavour of it

  
",Reviewed in India on 23 July 2020
5.0 out of 5 stars,"









  
  
    
  Packaging need little attention.. otherwise everything looks good. Value for money.

  
",Reviewed in India on 15 May 2020
5.0 out of 5 stars,"









  
  
    
  Despite the controversies, we, both adults and kids, need this fast food at_least once in a while.

  
",Reviewed in India on 18 March 2019
5.0 out of 5 stars,"









  
  
    
  Maggi 2-Minute Noodles Masala is always liked by full family at any time!

  
",Reviewed in India on 26 December 2019
3.0 out of 5 stars,"









  
  
    
  Good product but it cook vary fast , becoz its not ata nudal so ..... gala gala nudal some time vary vary gala but masala vary good test.

  
",Reviewed in India on 20 September 2018
5.0 out of 5 stars,"









  
  
    
  No doubt about nestle food

  
",Reviewed in India on 5 June 2020
5.0 out of 5 stars,"









  
  
    
  Maggie is best as always. Got this in a superb price and it's a fresh manufactured product.

  
",Reviewed in India on 17 July 2020
5.0 out of 5 stars,"









  
  
    
  I don't think that I have to say anything about Maggi. Everybody knows that there is no noodle like Maggi in taste

  
",Reviewed in India on 25 December 2018
5.0 out of 5 stars,"









  
  
    
  Bought it during offer times. So it’s definitely a value for money

  
",Reviewed in India on 1 November 2019
4.0 out of 5 stars,"









  
  
    
  Maggi is my all time favorite.Packaging was good.

  
",Reviewed in India on 16 July 2019
4.0 out of 5 stars,"









  
  
    
  Taste ok , packing are good

  
",Reviewed in India on 24 June 2020
4.0 out of 5 stars,"









  
  
    
  Item is OK.

  
",Reviewed in India on 14 June 2018
5.0 out of 5 stars,"









  
  
    
  The product is very tasty and anyone can make it with 2 to 5 minutes... I really loves it.

  
",Reviewed in India on 20 September 2019
4.0 out of 5 stars,"









  
  
    
  Family pack but prices is as equal to the per piece separate. However test and test all good matters only delivery taking timeore then expecting

  
",Reviewed in India on 9 August 2019
5.0 out of 5 stars,"









  
  
    
  Arrive to expected .

  
",Reviewed in India on 18 August 2018
5.0 out of 5 stars,"









  
  
    
  I eat maggi daily at morning. And taste of maggi is better than any other Noddles that i have eatten.

  
",Reviewed in India on 5 February 2020
5.0 out of 5 stars,"









  
  
    
  Good to Eat, Nice product

  
",Reviewed in India on 11 August 2020
1.0 out of 5 stars,"









  
  
    
  can't eat, extremely  salty

  
",Reviewed in India on 15 July 2020
5.0 out of 5 stars,"









  
  
    
  Great and good product

  
",Reviewed in India on 23 August 2018
2.0 out of 5 stars,"









  
  
    
  Actually product was fully damaged. IT WAS LIKE SOMEONE PLAYED FOOTBALL WITH THE PACKETS AND THEN PACKED AND DISPATCHED TO ME.

  
",Reviewed in India on 13 July 2020
5.0 out of 5 stars,"









  
  
    
  I missed maggi like a big time during the lockdown. A noodles that you're familiar from your childhood n rely upon it for immediate response to hungry stomach.

  
",Reviewed in India on 15 June 2020
5.0 out of 5 stars,"









  
  
    
  convenience, price, same great taste.. nuff said

  
",Reviewed in India on 19 November 2019
4.0 out of 5 stars,"









  
  
    
  Flavor & thickness of Maggie 2 minutes is very good

  
",Reviewed in India on 8 July 2020
1.0 out of 5 stars,"









  
  
    
  Too small packets of Maggie are included in this combo, would be better to purchase single packs, too high price to pay for nothing more than 5Rs per packet. Very disappointed

  
",Reviewed in India on 1 August 2020
1.0 out of 5 stars,"









  
  
    
  All the packages got completely crushed

  
",Reviewed in India on 15 May 2020
5.0 out of 5 stars,"









  
  
    
  Superb 👍😊 so yummy.. thank you Amazon and Maggie

  
",Reviewed in India on 20 July 2020
1.0 out of 5 stars,"









  
  
    
  Not bad

  
",Reviewed in India on 16 September 2018
2.0 out of 5 stars,"









  
  
    
  OK product, it's 12 small packets of maggie

  
",Reviewed in India on 4 July 2020
5.0 out of 5 stars,"









  
  
    
  cost effective product. can be used as evening snack packs. taste quality packing was all good.👍

  
",Reviewed in India on 10 September 2018
1.0 out of 5 stars,"









  
  
    
  Had ordered 10 of them in them 2-3 packets were partially opened.

  
",Reviewed in India on 5 July 2020
5.0 out of 5 stars,"









  
  
    
  very tasty

  
",Reviewed in India on 14 July 2020
5.0 out of 5 stars,"









  
  
    
  Good product but some of the noodles were broken as it was handled very tightly. Overall good packing and item was good.

  
",Reviewed in India on 18 July 2020
2.0 out of 5 stars,"









  
  
    
  Not so good according to price

  
",Reviewed in India on 3 January 2020
1.0 out of 5 stars,"









  
  
    
  I wanted only one type of Maggie the original masala but instead got a mix of paneer and aloo mattar

  
",Reviewed in India on 3 July 2020
5.0 out of 5 stars,"









  
  
    
  Nice

  
",Reviewed in India on 21 August 2018
4.0 out of 5 stars,"









  
  
    
  You should use carton box rather then polythene bag for packing.  It should be better for handling and less breakage of maggi,,  all the things was good...  Thanks

  
",Reviewed in India on 2 March 2020
1.0 out of 5 stars,"









  
  
    
  I got the the noodles crushed to flour. Pathetic handling

  
",Reviewed in India on 29 April 2020
2.0 out of 5 stars,"









  
  
    
  Product is as usual but Amazon delivery has spoil the product.

  
",Reviewed in India on 31 July 2020
4.0 out of 5 stars,"









  
  
    
  Your basic maggi.. special masala is better

  
",Reviewed in India on 13 November 2019
5.0 out of 5 stars,"









  
  
    
  great flavor, great taste, value for money

  
",Reviewed in India on 22 November 2019
3.0 out of 5 stars,"









  
  
    
  Taste is better than other flavors, I love this one only.

  
",Reviewed in India on 24 November 2019
4.0 out of 5 stars,"









  
  
    
  Best noodle in market

  
",Reviewed in India on 6 August 2020
5.0 out of 5 stars,"









  
  
    
  Tasty with vegetables

  
",Reviewed in India on 11 August 2020
5.0 out of 5 stars,"









  
  
    
  Very good, useful product.

  
",Reviewed in India on 19 November 2019
5.0 out of 5 stars,"









  
  
    
  Good quality Product

  
",Reviewed in India on 1 March 2020
1.0 out of 5 stars,"









  
  
    
  Not in good condition, I also throw the 6 packets from the total 12 number of packets.

  
",Reviewed in India on 17 June 2020
5.0 out of 5 stars,"









  
  
    
  Pieces r not broken at all..good job delivering it..

  
",Reviewed in India on 2 March 2019
1.0 out of 5 stars,"









  
  
    
  Taste was very unpleasant

  
",Reviewed in India on 25 October 2019
1.0 out of 5 stars,"









  
  
    
  Bad quality and bad small . Please change meterial

  
",Reviewed in India on 7 January 2020
4.0 out of 5 stars,"









  
  
    
  Nice family pack at discounted price. Tasty flavor and easy to cook makes it a perfect choice for snacks.

  
",Reviewed in India on 13 August 2019
5.0 out of 5 stars,"









  
  
    
  original product with reasonable price.thanks to amazone.

  
",Reviewed in India on 29 July 2020
